Citi_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhigansk,RU,66.7697,123.3711,-7.67,97,100,11.12,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,70.2,89,100,8.59,heavy intensity rain
2,Bredasdorp,ZA,-34.5322,20.0403,55.26,74,100,2.66,overcast clouds
3,Sao Filipe,CV,14.8961,-24.4956,78.55,75,80,3.74,broken clouds
4,Albany,US,42.6001,-73.9662,34.57,68,63,7.29,broken clouds
5,Saint-Philippe,RE,-21.3585,55.7679,69.39,69,28,5.28,scattered clouds
6,Aklavik,CA,68.2191,-135.0107,10.92,80,49,6.71,scattered clouds
7,Leningradskiy,RU,69.3833,178.4167,6.71,95,100,15.48,light snow
8,Kruisfontein,ZA,-34.0033,24.7314,60.89,72,100,1.32,overcast clouds
9,Baft,IR,29.234,56.6057,48.78,57,95,2.42,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,60.94,88,0,15.99,clear sky
11,Upernavik,GL,72.7868,-56.1549,10.27,71,56,4.36,broken clouds
12,Georgetown,MY,5.4112,100.3354,84.88,85,20,3.44,few clouds
13,Barrow,US,71.2906,-156.7887,28.42,86,0,12.66,clear sky
14,San Patricio,US,28.017,-97.5169,54.84,58,100,6.33,overcast clouds
15,Hithadhoo,MV,-0.6,73.0833,81.32,75,11,14.07,few clouds
16,Muros,ES,42.7762,-9.0603,48.09,96,75,6.13,broken clouds
17,Busselton,AU,-33.65,115.3333,55.0,58,90,20.69,overcast clouds
18,Malinovskiy,RU,61.1953,62.8397,0.41,82,79,5.93,broken clouds
19,Ushuaia,AR,-54.8,-68.3,51.46,37,20,12.66,few clouds
20,Lebu,CL,-37.6167,-73.65,56.39,95,99,6.98,overcast clouds
21,Kutum,SD,14.2,24.6667,58.14,33,0,5.06,clear sky
22,Jamestown,US,42.097,-79.2353,30.02,71,100,21.85,overcast clouds
23,Nikolskoye,RU,59.7035,30.7861,26.49,85,11,6.38,few clouds
24,Avarua,CK,-21.2078,-159.775,78.85,78,75,16.11,broken clouds
25,Alice Town,BS,25.7167,-79.3,75.67,77,100,19.69,overcast clouds
26,Kanigoro,ID,-8.13,112.219,80.64,72,100,2.8,overcast clouds
27,Gladstone,AU,-23.85,151.25,81.79,44,17,11.5,few clouds
28,Ponta Delgada,PT,37.7333,-25.6667,59.5,97,12,3.74,few clouds
29,Kapaa,US,22.0752,-159.319,82.38,78,40,13.8,scattered clouds
30,Bluff,NZ,-46.6,168.3333,58.8,86,95,13.04,overcast clouds
31,Peoria,US,40.7667,-89.7668,31.51,74,93,14.18,overcast clouds
32,Mahenge,TZ,-8.6833,36.7167,62.89,95,88,1.3,overcast clouds
33,Nouadhibou,MR,20.931,-17.0347,73.38,35,0,13.8,clear sky
34,Tukrah,LY,32.5341,20.5791,66.04,75,32,11.39,scattered clouds
35,Srednekolymsk,RU,67.45,153.6833,-22.65,95,85,10.47,overcast clouds
36,Taoudenni,ML,22.6783,-3.9836,70.23,17,0,8.32,clear sky
37,Mataura,NZ,-46.1927,168.8643,58.48,71,95,1.7,overcast clouds
38,New Norfolk,AU,-42.7826,147.0587,66.88,46,32,3.0,scattered clouds
39,Nioro,GM,13.35,-15.75,76.42,32,100,5.32,overcast clouds
40,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,100,4.61,overcast clouds
41,Hermanus,ZA,-34.4187,19.2345,52.81,71,93,4.16,overcast clouds
42,Tura,IN,25.5198,90.2201,71.73,64,2,3.51,light rain
43,Victoria,HK,22.2855,114.1577,82.96,80,0,5.99,clear sky
44,Cabo San Lucas,MX,22.8909,-109.9124,72.7,76,15,1.83,few clouds
45,Nongpoh,IN,25.9,91.8833,65.77,70,1,2.77,clear sky
46,Kaputa,ZM,-8.4689,29.6619,67.55,86,87,0.83,overcast clouds
47,Goksun,TR,38.021,36.4973,43.39,95,100,5.03,overcast clouds
48,Butaritari,KI,3.0707,172.7902,80.96,75,69,13.0,broken clouds
49,Vaini,TO,-21.2,-175.2,82.56,74,40,8.05,scattered clouds
50,Codrington,AU,-38.2667,141.9667,67.8,59,40,9.69,scattered clouds
51,Dombarovskiy,RU,50.7587,59.5386,23.99,81,100,16.44,overcast clouds
52,Margau,RO,46.75,22.9667,40.57,92,97,5.28,overcast clouds
53,Atuona,PF,-9.8,-139.0333,78.4,74,76,15.73,broken clouds
54,Coihaique,CL,-45.5752,-72.0662,52.41,100,100,5.75,light rain
55,Ancud,CL,-41.8697,-73.8203,54.34,96,100,4.79,overcast clouds
56,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,8,7.0,clear sky
57,Antalaha,MG,-14.9003,50.2788,74.19,85,95,0.2,light rain
58,Kaitangata,NZ,-46.2817,169.8464,59.04,72,87,8.79,overcast clouds
59,Viedma,AR,-40.8135,-62.9967,65.43,85,100,1.59,moderate rain
60,Yellowknife,CA,62.456,-114.3525,18.12,67,40,15.01,scattered clouds
61,Ribeira Grande,PT,38.5167,-28.7,56.77,69,15,1.01,few clouds
62,Yar-Sale,RU,66.8333,70.8333,14.67,83,72,20.2,broken clouds
63,Mafeteng,LS,-29.823,27.2374,57.43,31,8,3.8,clear sky
64,Constitucion,CL,-35.3333,-72.4167,56.08,92,97,11.3,overcast clouds
65,Morondava,MG,-20.2833,44.2833,77.32,54,0,2.73,clear sky
66,Severo-Kurilsk,RU,50.6789,156.125,34.93,68,100,15.48,overcast clouds
67,Lashio,MM,22.9333,97.75,71.17,53,44,1.05,scattered clouds
68,Wasilla,US,61.5814,-149.4394,37.74,82,0,3.44,clear sky
69,Nemuro,JP,43.3236,145.575,41.58,54,37,11.05,scattered clouds
70,Tigil,RU,57.8,158.6667,22.51,90,100,12.91,light snow
71,Tabou,CI,4.423,-7.3528,77.56,83,30,6.22,light rain
72,Longyearbyen,SJ,78.2186,15.6401,24.64,93,100,0.0,light snow
73,Gazojak,TM,41.1875,61.4036,46.35,60,96,5.77,overcast clouds
74,Nerchinskiy Zavod,RU,51.3088,119.61,16.29,85,100,2.93,overcast clouds
75,Carlsbad,US,33.1581,-117.3506,64.71,61,0,5.75,clear sky
76,Bandarbeyla,SO,9.4942,50.8122,76.33,75,9,11.97,clear sky
